,writer,book,birth,min_bookDate
50,http://dbpedia.org/resource/Chris_Van_Allsburg,http://dbpedia.org/resource/Queen_of_the_Falls;http://dbpedia.org/resource/The_Wretched_Stone;http://dbpedia.org/resource/Two_Bad_Ants;http://dbpedia.org/resource/Jumanji_(picture_book),1949,1981
51,http://dbpedia.org/resource/Chuck_Palahniuk,http://dbpedia.org/resource/Invisible_Monsters;http://dbpedia.org/resource/Tell-All;http://dbpedia.org/resource/Haunted_(Palahniuk_novel);http://dbpedia.org/resource/Rant_(novel);http://dbpedia.org/resource/Snuff_(Palahniuk_novel);http://dbpedia.org/resource/Survivor_(Palahniuk_novel),1962,1999
52,http://dbpedia.org/resource/Gail_Carson_Levine,http://dbpedia.org/resource/Dave_at_Night;http://dbpedia.org/resource/Disney_Fairies;http://dbpedia.org/resource/Ella_Enchanted;http://dbpedia.org/resource/The_Two_Princesses_of_Bamarre;http://dbpedia.org/resource/The_Wish_(novel),1947,1997
53,http://dbpedia.org/resource/Norman_Spinrad,http://dbpedia.org/resource/Bug_Jack_Barron;http://dbpedia.org/resource/Child_of_Fortune;http://dbpedia.org/resource/The_Iron_Dream;http://dbpedia.org/resource/The_Last_Hurrah_of_the_Golden_Horde;http://dbpedia.org/resource/The_Solarians,1940,1966
54,http://dbpedia.org/resource/Samuel_R._Delany,"http://dbpedia.org/resource/Babel-17;http://dbpedia.org/resource/Captives_of_the_Flame;http://dbpedia.org/resource/City_of_a_Thousand_Suns;http://dbpedia.org/resource/Dark_Reflections;http://dbpedia.org/resource/Dhalgren;http://dbpedia.org/resource/Distant_Stars;http://dbpedia.org/resource/Driftglass;http://dbpedia.org/resource/Empire_Star;http://dbpedia.org/resource/Flight_from_Nevèrÿon;http://dbpedia.org/resource/Longer_Views;http://dbpedia.org/resource/Nebula_Winners_Thirteen;http://dbpedia.org/resource/Neveryóna;http://dbpedia.org/resource/Shorter_Views;http://dbpedia.org/resource/Silent_Interviews;http://dbpedia.org/resource/Stars_in_My_Pocket_Like_Grains_of_Sand;http://dbpedia.org/resource/Tales_of_Nevèrÿon;http://dbpedia.org/resource/The_Ballad_of_Beta-2;http://dbpedia.org/resource/The_Complete_Nebula_Award-Winning_Fiction;http://dbpedia.org/resource/The_Einstein_Intersection;http://dbpedia.org/resource/The_Fall_of_the_Towers;http://dbpedia.org/resource/The_Jewels_of_Aptor;http://dbpedia.org/resource/The_Mad_Man;http://dbpedia.org/resource/The_Motion_of_Light_in_Water;http://dbpedia.org/resource/The_Towers_of_Toron;http://dbpedia.org/resource/They_Fly_at_Çiron;http://dbpedia.org/resource/Atlantis:_Three_Tales;http://dbpedia.org/resource/Aye,_and_Gomorrah,_and_other_stories;http://dbpedia.org/resource/Driftglass/Starshards;http://dbpedia.org/resource/Equinox_(novel);http://dbpedia.org/resource/Hogg_(novel);http://dbpedia.org/resource/Nova_(novel);http://dbpedia.org/resource/Phallos_(novella);http://dbpedia.org/resource/Quark/1;http://dbpedia.org/resource/Quark/2;http://dbpedia.org/resource/Quark/3;http://dbpedia.org/resource/Quark/4;http://dbpedia.org/resource/Times_Square_Red,_Times_Square_Blue;http://dbpedia.org/resource/Triton_(novel)",1942,1962
55,http://dbpedia.org/resource/Clayton_Rawson,http://dbpedia.org/resource/Death_from_a_Top_Hat;http://dbpedia.org/resource/No_Coffin_for_the_Corpse;http://dbpedia.org/resource/The_Footprints_on_the_Ceiling;http://dbpedia.org/resource/The_Headless_Lady,1906,1938
56,http://dbpedia.org/resource/Edward_P._Jones,http://dbpedia.org/resource/The_Known_World,1951,2003
57,http://dbpedia.org/resource/Joe_McGinniss,http://dbpedia.org/resource/The_Miracle_of_Castel_di_Sangro,1942,1999
58,http://dbpedia.org/resource/Ursula_K._Le_Guin,http://dbpedia.org/resource/Changing_Planes;http://dbpedia.org/resource/City_of_Illusions;http://dbpedia.org/resource/Four_Ways_to_Forgiveness;http://dbpedia.org/resource/Orsinian_Tales;http://dbpedia.org/resource/Planet_of_Exile;http://dbpedia.org/resource/The_Compass_Rose;http://dbpedia.org/resource/The_Eye_of_the_Heron;http://dbpedia.org/resource/The_Lathe_of_Heaven,1929,1966
59,http://dbpedia.org/resource/William_Goldman,http://dbpedia.org/resource/Boys_and_Girls_Together;http://dbpedia.org/resource/Hype_and_Glory;http://dbpedia.org/resource/The_Color_of_Light;http://dbpedia.org/resource/The_Princess_Bride;http://dbpedia.org/resource/The_Silent_Gondoliers;http://dbpedia.org/resource/Wait_Till_Next_Year;http://dbpedia.org/resource/Brothers_(Goldman_novel);http://dbpedia.org/resource/Control_(novel);http://dbpedia.org/resource/Father's_Day_(novel);http://dbpedia.org/resource/Heat_(Goldman_novel);http://dbpedia.org/resource/Magic_(novel);http://dbpedia.org/resource/Marathon_Man_(novel);http://dbpedia.org/resource/Tinsel_(novel);http://dbpedia.org/resource/Which_Lie_Did_I_Tell%3F,1931,1964
60,http://dbpedia.org/resource/Richard_Price_(writer),http://dbpedia.org/resource/The_Wanderers_(Price_novel),1949,1974
61,http://dbpedia.org/resource/Connie_Willis,http://dbpedia.org/resource/To_Say_Nothing_of_the_Dog;http://dbpedia.org/resource/A_Woman's_Liberation;http://dbpedia.org/resource/Bellwether_(novel);http://dbpedia.org/resource/Doomsday_Book_(novel);http://dbpedia.org/resource/Passage_(Willis_novel);http://dbpedia.org/resource/Remake_(novel),1945,1992
