,birth,book,writer,min_bookDate
70,1945,http://dbpedia.org/resource/Ranks_of_Bronze;http://dbpedia.org/resource/Servant_of_the_Dragon;http://dbpedia.org/resource/The_Forlorn_Hope;http://dbpedia.org/resource/The_Gods_Return;http://dbpedia.org/resource/The_War_Machine;http://dbpedia.org/resource/With_the_Lightnings;http://dbpedia.org/resource/Hammer's_Slammers;http://dbpedia.org/resource/The_World_Turned_Upside_Down_(anthology),http://dbpedia.org/resource/David_Drake,1979
71,1931,http://dbpedia.org/resource/Belgarath_the_Sorcerer;http://dbpedia.org/resource/High_Hunt;http://dbpedia.org/resource/Polgara_the_Sorceress;http://dbpedia.org/resource/The_Belgariad;http://dbpedia.org/resource/The_Elenium;http://dbpedia.org/resource/The_Malloreon;http://dbpedia.org/resource/The_Redemption_of_Althalus;http://dbpedia.org/resource/The_Rivan_Codex;http://dbpedia.org/resource/The_Tamuli;http://dbpedia.org/resource/Regina's_Song;http://dbpedia.org/resource/The_Dreamers_(novel_series),http://dbpedia.org/resource/David_Eddings,1973
72,1975,http://dbpedia.org/resource/Bold_They_Rise,http://dbpedia.org/resource/David_Hitt,2014
73,1967,http://dbpedia.org/resource/City_of_the_Sun_(Levien_novel),http://dbpedia.org/resource/David_Levien,2008
74,1933,http://dbpedia.org/resource/Mornings_on_Horseback;http://dbpedia.org/resource/The_Path_Between_the_Seas;http://dbpedia.org/resource/The_Wright_Brothers_(book),http://dbpedia.org/resource/David_McCullough,1977
75,1956,http://dbpedia.org/resource/Barrel_Fever;http://dbpedia.org/resource/Holidays_on_Ice;http://dbpedia.org/resource/Naked_(book),http://dbpedia.org/resource/David_Sedaris,1994
76,1965,http://dbpedia.org/resource/A_Drink_Before_the_War;http://dbpedia.org/resource/Prayers_for_Rain;http://dbpedia.org/resource/Coronado:_Stories;http://dbpedia.org/resource/Moonlight_Mile_(novel);http://dbpedia.org/resource/Mystic_River_(novel),http://dbpedia.org/resource/Dennis_Lehane,1994
77,1953,http://dbpedia.org/resource/The_Power_of_the_Dog;http://dbpedia.org/resource/Satori_(Winslow_novel),http://dbpedia.org/resource/Don_Winslow,2005
78,1966,"http://dbpedia.org/resource/Dooby_Dooby_Moo;http://dbpedia.org/resource/Duck_for_President;http://dbpedia.org/resource/Click,_Clack,_Moo",http://dbpedia.org/resource/Doreen_Cronin,2000
79,1956,http://dbpedia.org/resource/Relic_(novel);http://dbpedia.org/resource/Reliquary_(novel),http://dbpedia.org/resource/Douglas_Preston,1995
80,1910,http://dbpedia.org/resource/From_Unknown_Worlds;http://dbpedia.org/resource/Who_Goes_There%3F_and_Other_Stories,http://dbpedia.org/resource/John_W._Campbell,1948
81,1951,http://dbpedia.org/resource/Blessed_Is_the_Fruit;http://dbpedia.org/resource/Divina_Trace,http://dbpedia.org/resource/Robert_Antoni,1991
82,1975,http://dbpedia.org/resource/I_Hope_They_Serve_Beer_in_Hell,http://dbpedia.org/resource/Tucker_Max,2006
83,1929,http://dbpedia.org/resource/Fathom_Five_(novel),http://dbpedia.org/resource/Robert_Westall,1990
84,1916,http://dbpedia.org/resource/The_Crystal_Cave;http://dbpedia.org/resource/The_Hollow_Hills;http://dbpedia.org/resource/The_Last_Enchantment;http://dbpedia.org/resource/The_Prince_and_the_Pilgrim;http://dbpedia.org/resource/The_Wicked_Day;http://dbpedia.org/resource/Thornyhold;http://dbpedia.org/resource/Touch_Not_the_Cat,http://dbpedia.org/resource/Mary_Stewart_(novelist),1970
85,1879,http://dbpedia.org/resource/A_Room_with_a_View;http://dbpedia.org/resource/Howards_End;http://dbpedia.org/resource/The_Celestial_Omnibus;http://dbpedia.org/resource/The_Eternal_Moment;http://dbpedia.org/resource/Where_Angels_Fear_to_Tread;http://dbpedia.org/resource/The_Longest_Journey_(novel),http://dbpedia.org/resource/E._M._Forster,1905
86,1969,http://dbpedia.org/resource/Pilgrims_(short_story_collection),http://dbpedia.org/resource/Elizabeth_Gilbert,1997
